field,refers_to,should refer to
id,"node.id"
name,"node.label"
label,"if node.type === 'function' then `${node.label}()` else node.label"
description,"node.type"
color,"module -> '#1f77b4'; function -> '#2ca02c'; else -> '#7f7f7f'"
fillColor,"'' (empty)","module -> '#1f77b4'; function -> '#2ca02c'; else -> '#7f7f7f'"
weight,"'' (empty)",number of dependencies (outgoing edges) for the node
rawWeight,"'' (empty)",number of dependencies (outgoing edges) for the node
lat,"'' (empty)"
lng,"'' (empty)"
start,"'' (empty)"
end,"'' (empty)"
time,"'' (empty)"
date,"'' (empty)"
source,"'' (empty)"
target,"'' (empty)"
edgeLabel,"'' (empty)"
edgeColor,"'' (empty)"
edgeWeight,"'' (empty)"
relationship,"'' (empty)"
enlightement,"node.type  (note: column name spelled 'enlightement' in the exporter)",empty
emoji,"'' (empty)"
extra,"JSON.stringify(node)  (the full node object serialized as JSON)",a snippet of code or additional info depending on node type
